Model,MAE,RMSE,MAPE (%),R2,sMAPE (%)
Proposed-Ens,1515.16,2150.82,4.75,0.8886,4.75
Proposed,1558.68 ± 22.39,2214.10 ± 48.61,4.89 ± 0.06,0.8819 ± 0.0052,4.89 ± 0.07
PatchTST,1574.23 ± 27.74,2191.94 ± 35.03,4.98 ± 0.08,0.8843 ± 0.0037,4.95 ± 0.08
DLinear,1615.48 ± 17.93,2189.86 ± 11.39,5.15 ± 0.08,0.8845 ± 0.0012,5.10 ± 0.05
LightGBM,1630.27 ± 0.00,2239.23 ± 0.00,5.19 ± 0.00,0.8792 ± 0.0000,5.14 ± 0.00
TCN,1634.57 ± 47.02,2206.45 ± 34.63,5.21 ± 0.18,0.8827 ± 0.0037,5.14 ± 0.16
XGBoost,1637.84 ± 0.00,2250.95 ± 0.00,5.23 ± 0.00,0.8780 ± 0.0000,5.17 ± 0.00
Transformer,1675.71 ± 72.84,2254.14 ± 39.47,5.35 ± 0.30,0.8776 ± 0.0043,5.29 ± 0.26
CNN-LSTM **,1708.48 ± 47.77,2342.23 ± 57.74,5.46 ± 0.17,0.8678 ± 0.0065,5.36 ± 0.15
GRU-TCN-Attention *,1714.22 ± 71.49,2325.07 ± 60.33,5.48 ± 0.27,0.8697 ± 0.0067,5.38 ± 0.23
BiLSTM **,1720.94 ± 91.86,2345.24 ± 125.91,5.53 ± 0.32,0.8672 ± 0.0145,5.41 ± 0.28
GRU **,1768.65 ± 64.14,2347.61 ± 44.57,5.70 ± 0.25,0.8672 ± 0.0050,5.57 ± 0.23
ARIMA **,1806.09 ± 0.00,2498.59 ± 0.00,5.71 ± 0.00,0.8496 ± 0.0000,5.74 ± 0.00
LSTM **,1779.78 ± 65.49,2376.35 ± 69.23,5.74 ± 0.23,0.8639 ± 0.0080,5.60 ± 0.21
SeasonalNaive **,3439.77 ± 0.00,4743.42 ± 0.00,10.71 ± 0.00,0.4581 ± 0.0000,10.59 ± 0.00
