Model,MAE,RMSE,MAPE (%),R2,sMAPE (%)
Proposed-Ens,360.65,561.16,5.22,0.8623,5.17
Proposed,383.83 ± 7.50,581.98 ± 9.86,5.54 ± 0.13,0.8518 ± 0.0050,5.49 ± 0.10
DLinear,388.65 ± 12.39,589.36 ± 7.14,5.60 ± 0.17,0.8481 ± 0.0037,5.55 ± 0.16
PatchTST,398.48 ± 5.64,583.94 ± 5.13,5.79 ± 0.08,0.8509 ± 0.0026,5.71 ± 0.08
LightGBM,402.84 ± 0.00,615.32 ± 0.00,6.14 ± 0.00,0.8344 ± 0.0000,5.85 ± 0.00
XGBoost,412.54 ± 0.00,634.68 ± 0.00,6.32 ± 0.00,0.8238 ± 0.0000,5.98 ± 0.00
Transformer,430.32 ± 19.17,620.01 ± 19.64,6.39 ± 0.22,0.8317 ± 0.0108,6.19 ± 0.24
GRU-TCN-Attention *,438.87 ± 17.66,625.58 ± 17.93,6.45 ± 0.30,0.8287 ± 0.0099,6.29 ± 0.24
BiLSTM *,433.22 ± 10.63,628.68 ± 11.87,6.50 ± 0.14,0.8271 ± 0.0065,6.24 ± 0.13
GRU,430.71 ± 5.32,627.24 ± 5.35,6.52 ± 0.13,0.8279 ± 0.0029,6.22 ± 0.09
TCN,430.91 ± 18.14,633.19 ± 22.08,6.56 ± 0.33,0.8245 ± 0.0123,6.21 ± 0.27
LSTM *,435.00 ± 6.77,634.84 ± 9.04,6.59 ± 0.11,0.8237 ± 0.0050,6.28 ± 0.10
CNN-LSTM **,447.99 ± 5.07,652.68 ± 8.45,6.84 ± 0.09,0.8137 ± 0.0048,6.47 ± 0.06
SeasonalNaive **,626.68 ± 0.00,932.33 ± 0.00,9.05 ± 0.00,0.6198 ± 0.0000,8.83 ± 0.00
ARIMA,1248.21 ± 0.00,12919.60 ± 0.00,19.22 ± 0.00,-72.0026 ± 0.0000,7.67 ± 0.00
