Variant,MAE,RMSE,MAPE (%),R2
Full (Proposed),381.23 ± 5.34,583.08 ± 10.33,5.46 ± 0.06,0.8513 ± 0.0053
w/o Stage 1 (multi-scale split),378.28 ± 9.57,575.80 ± 10.23,5.47 ± 0.16,0.8550 ± 0.0052
w/o Stage 2 (filter bank),379.07 ± 5.77,578.48 ± 5.66,5.45 ± 0.11,0.8536 ± 0.0029
w/o adaptive gating,380.47 ± 3.78,583.02 ± 6.73,5.48 ± 0.05,0.8513 ± 0.0034
w/o patch embedding,382.21 ± 7.95,583.07 ± 6.58,5.54 ± 0.17,0.8513 ± 0.0034
w/o cross-attention,389.81 ± 11.77,588.14 ± 7.81,5.59 ± 0.18,0.8487 ± 0.0040
w/o BiGRU decoder,384.13 ± 3.24,587.36 ± 4.20,5.56 ± 0.09,0.8491 ± 0.0022
w/o RevIN,392.38 ± 9.74,590.13 ± 9.52,5.72 ± 0.19,0.8477 ± 0.0049
w/o future covariates,378.72 ± 6.72,574.49 ± 6.91,5.46 ± 0.10,0.8556 ± 0.0035
w/o linear skip,392.76 ± 8.67,575.53 ± 14.41,5.67 ± 0.12,0.8551 ± 0.0072
w/ causal error correction,376.82 ± 5.88,578.99 ± 11.65,5.41 ± 0.08,0.8533 ± 0.0059
