Variant,MAE,RMSE,MAPE (%),R2
Full (Proposed),7.46 ± 0.20,10.64 ± 0.47,4.73 ± 0.11,0.9608 ± 0.0035
w/o Stage 1 (multi-scale split),7.45 ± 0.27,10.54 ± 0.36,4.73 ± 0.17,0.9615 ± 0.0026
w/o Stage 2 (filter bank),7.59 ± 0.23,10.63 ± 0.37,4.83 ± 0.15,0.9609 ± 0.0028
w/o adaptive gating,7.49 ± 0.11,10.60 ± 0.30,4.75 ± 0.06,0.9611 ± 0.0022
w/o patch embedding,7.15 ± 0.10,10.17 ± 0.17,4.56 ± 0.06,0.9642 ± 0.0012
w/o cross-attention,7.90 ± 0.52,11.70 ± 0.52,5.04 ± 0.38,0.9526 ± 0.0041
w/o BiGRU decoder,7.59 ± 0.34,10.80 ± 0.63,4.81 ± 0.20,0.9596 ± 0.0048
w/o RevIN,7.00 ± 0.56,9.44 ± 0.60,4.42 ± 0.35,0.9691 ± 0.0039
w/o future covariates,12.34 ± 0.21,17.04 ± 0.15,8.00 ± 0.19,0.8996 ± 0.0017
w/o linear skip,7.85 ± 0.29,11.38 ± 0.67,4.94 ± 0.17,0.9551 ± 0.0051
w/o covariate skip,8.63 ± 0.66,12.37 ± 0.71,5.38 ± 0.40,0.9469 ± 0.0061
w/ causal error correction,7.62 ± 0.25,10.74 ± 0.51,4.87 ± 0.15,0.9600 ± 0.0039
