Baseline,DM (MSE),p (raw),p (Holm),DM (MAE),n
SeasonalNaive,-5.407,1.40e-07,1.96e-06,-8.817,274
ARIMA,-1.011,3.13e-01,1.00e+00,-1.164,274
XGBoost,-2.227,2.67e-02,1.60e-01,-2.013,274
LightGBM,-1.962,5.07e-02,2.54e-01,-1.722,274
LSTM,-3.272,1.21e-03,1.45e-02,-5.079,274
BiLSTM,-2.862,4.54e-03,4.54e-02,-4.854,274
GRU,-2.731,6.73e-03,6.05e-02,-4.542,274
TCN,-2.585,1.03e-02,8.04e-02,-3.741,274
Transformer,-2.592,1.00e-02,8.04e-02,-4.883,274
CNN-LSTM,-3.693,2.68e-04,3.48e-03,-5.674,274
GRU-TCN-Attention,-3.135,1.91e-03,2.10e-02,-5.901,274
DLinear,-0.926,3.55e-01,1.00e+00,-0.933,274
PatchTST,-0.276,7.83e-01,1.00e+00,-3.594,274
TiDE,+0.654,5.14e-01,1.00e+00,+0.918,274
