Baseline,DM (MSE),p (raw),p (Holm),DM (MAE),n
SeasonalNaive,-9.844,8.70e-22,1.13e-20,-13.915,902
ARIMA,-6.591,7.43e-11,8.91e-10,-8.755,902
XGBoost,-1.258,2.09e-01,1.00e+00,-3.661,902
LightGBM,-0.883,3.78e-01,1.00e+00,-3.408,902
LSTM,-4.121,4.12e-05,4.54e-04,-7.083,902
BiLSTM,-3.390,7.28e-04,6.55e-03,-5.729,902
GRU,-3.746,1.91e-04,1.91e-03,-7.225,902
TCN,+0.213,8.31e-01,1.00e+00,-2.788,902
Transformer,-1.446,1.49e-01,8.92e-01,-5.153,902
CNN-LSTM,-3.247,1.21e-03,9.69e-03,-5.395,902
GRU-TCN-Attention,-3.104,1.97e-03,1.38e-02,-6.073,902
DLinear,+0.808,4.19e-01,1.00e+00,-2.401,902
PatchTST,+0.989,3.23e-01,1.00e+00,-1.031,902
