Rank,Model,MAE,RMSE,MAPE (%),R2
1,Proposed-Ens,360.65,561.16,5.22,0.8623
2,DLinear-Ens,372.94,577.61,5.39,0.8541
3,PatchTST-Ens,374.12,564.01,5.46,0.8609
4,Transformer-Ens,398.76,593.51,5.97,0.8459
5,GRU-TCN-Attention-Ens,403.66,587.10,5.98,0.8493
6,LightGBM-Ens,402.84,615.32,6.14,0.8344
7,BiLSTM-Ens,408.19,603.84,6.17,0.8405
8,LSTM-Ens,409.59,613.34,6.25,0.8355
9,GRU-Ens,411.21,609.20,6.27,0.8377
10,TCN-Ens,410.76,615.68,6.30,0.8342
11,XGBoost-Ens,412.54,634.68,6.32,0.8238
12,CNN-LSTM-Ens,428.52,634.66,6.59,0.8238
